n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,p_clean,p_att,d2original,exp_util,seconds
0,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['among', 'democratic', 'control', 'late', 'darfur', 'new', 'turkey', '(', 'among', 'washington', 'group', 'suspected', 'korea', 'one', 'forces', 'agency', 'years', 'fire', 'united', 'states', 'darfur', 'years', ')', 'security', 'korea', 'aid', 'nuclear', 'announced', 'came', 'washington']",0.06834732172362748,0.5571625650087264,0.26666666666666666,42.557185289204,1500
1,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['says', 'gaza', 'meanwhile', 'human', 'support', 'party', 'friday', 'terrorist', 'also', 'reported', 'iranian', 'reported', 'later', 'border', 'friday', ',', 'russia', 'india', 'oil', 'police', 'north', 'bomb', 'province', 'south', 'held', 'day', 'nuclear', 'later', 'fire', 'NUM,NUM']",0.06834732172362748,0.06977935228823864,0.16666666666666666,27.069779735499623,1500
2,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['found', 'police', 'reporters', 'foreign', 'tuesday', 'percent', 'talks', 'islamic', 'army', '%', 'western', 'african', 'u.s.', 'european', 'party', 'tehran', 'man', 'first', 'muslim', 'states', 'north', 'korea', 'three', 'program', 'also', 'french', 'health', 'police', 'pakistan', '(']",0.06834732172362748,0.7936445810511306,0.13333333333333333,22.793678350150742,1500
3,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['authorities', 'power', 'died', 'japan', 'six', 'party', 'talks', 'meeting', 'political', 'african', 'international', 'past', 'house', 'french', 'detained', ',', 'rebels', 'russia', 'united', 'groups', 'take', 'leaders', ')', 'trade', 'korea', ""'s"", 'west', 'nato', 'say', 'foreign']",0.06834732172362748,0.09606897420817934,0.26666666666666666,42.096088726600236,1500
4,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'day', 'among', 'NUMth', 'wednesday', 'prime', 'south', 'aid', 'nations', 'ago', 'work', 'russia', 'forces', ',', 'japan', 'friday', 'venezuela', 'states', 'bush', 'rebels', 'tehran', 'korea', ')', 'north', 'chinese', 'israeli', 'iran', 'program', 'africa', 'french']",0.06834732172362748,0.8362947647361211,0.26666666666666666,42.83630067418391,1500
8,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['came', 'said', 'groups', 'baghdad', 'home', 'west', 'earlier', '(', 'united', 'government', 'former', 'virus', 'five', ',', 'confirmed', ',', 'seven', 'west', 'u.s.', 'may', 'china', ""'s"", 'control', 'hamas', 'israeli', '-', 'virus', 'war', ')', '.']",0.06834732172362748,0.17604404555168615,0.2,32.17610181394085,1500
5,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['soldiers', 'rebels', 'democratic', 'people', 'may', 'party', 'talks', 'organization', 'human', 'china', 'fighting', 'members', 'korea', 'NUMth', 'japan', 'trade', 'second', 'man', 'al-qaida', 'agency', 'north', 'NUM,NUM,NUM', 'support', 'statement', 'peace', 'thousands', 'official', 'workers', 'days', '.']",0.06834732172362748,0.24718717235814588,0.23333333333333334,37.247168638325135,1500
9,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['dead', 'five', 'death', 'countries', 'india', 'man', 'talks', 'ago', 'tehran', '""', 'opposition', 'south', 'korea', 'south', 'global', ',', '(', 'confirmed', 'prices', 'office', 'told', 'earlier', 'violence', 'spokesman', 'militant', 'agreement', 'south', 'war', 'south', 'militants']",0.06834732172362748,0.5370517850512909,0.16666666666666666,27.537050598835343,1500
6,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', ""shi'ite"", 'general', 'countries', 'u.n.', 'party', ',', 'force', 'pakistan', 'met', ',', 'border', 'organization', 'power', 'report', 'among', 'east', 'killed', 'suspected', 'turkey', 'west', 'virus', ')', 'united', 'parliament', 'top', 'office', 'place', 'NUMth', '.']",0.06834732172362748,0.7187699445862258,0.2,32.718771201759054,1500
7,1.0,5.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['militant', 'said', 'u.n.', 'countries', 'march', 'party', 'expected', '(', 'among', 'china', 'top', 'fire', 'militant', 'car', 'gaza', 'attacks', 'capital', ',', 'united', 'recent', 'iranian', 'bush', 'president', 'korea', 'past', 'nations', 'confirmed', 'police', 'take', 'defense']",0.06834732172362748,0.47592613749277507,0.26666666666666666,42.47592236706796,1500
