n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,p_clean,p_att,d2original,exp_util,seconds
9,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['nuclear', 'NUM,NUM', 'six', 'countries', '%', 'officials', 'end', 'prices', 'early', 'following', 'monday', '-', 'told', 'iranian', 'american', 'eu', 'russia', 'time', 'three', 'insurgents', 'part', 'came', 'tuesday', 'taleban', 'party', 'held', 'afghanistan', 'states', 'venezuela', 'held']",0.06834732172362554,0.04986630142190725,0.06666666666666667,4.900284197134266,1500
5,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","[""shi'ite"", 'town', 'first', 'weeks', 'killing', 'percent', 'north', 'iraq', 'u.n.', 'reporters', 'food', 'group', 'spokesman', 'northern', 'work', 'world', 'war', 'following', 'saying', 'british', ""'s"", 'least', 'since', 'council', 'four', 'prices', 'countries', 'eastern', 'announced', 'week']",0.06834732172362554,0.03733540044243249,0.0,2.925336426653232,1500
8,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['wednesday', 'NUM.NUM', 'terrorist', 'chinese', 'elections', 'may', 'eu', '""', 'africa', 'border', 'presidential', 'days', '.', 'tuesday', 'thousands', 'military', 'central', 'report', 'united', 'place', 'city', 'sudan', 'help', 'north', 'man', 'met', 'national', 'talks', 'month', 'organization']",0.06834732172362554,0.03364256233636442,0.06666666666666667,4.932714014005407,1500
4,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['former', 'baghdad', 'NUM', 'later', 'former', 'central', 'says', 'told', 'held', 'arrested', 'violence', 'sudan', 'group', 'among', 'government', ',', 'since', ',', 'energy', 'seven', ""'s"", 'month', 'weeks', 'first', 'northern', 'spokesman', 'bank', 'plans', 'five', 'area']",0.06834732172362554,0.042045942372204506,0.06666666666666667,4.915863034160014,1500
7,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['called', 'detained', 'set', 'new', 'part', 'troops', 'talks', 'charges', 'israel', 'said', 'top', 'tehran', 'violence', 'man', 'insurgents', 'still', 'month', 'terrorist', 'left', 'days', 'hit', 'media', 'u.n.', 'fire', 'deal', 'american', 'near', 'five', 'year', 'energy']",0.06834732172362554,0.03706072436394203,0.03333333333333333,3.9258736752746652,1500
6,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['government', 'several', 'january', 'border', 'talks', 'russian', 'capital', 'released', 'new', 'china', 'area', 'one', 'washington', 'statement', 'left', 'eastern', '$', 'detained', 'power', 'states', '$', 'died', 'minister', 'capital', 'saturday', 'said', 'least', 'prime', 'president', 'work']",0.06834732172362554,0.032139952242485705,0.06666666666666667,4.935702533429984,1500
1,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['national', 'percent', 'among', 'border', 'russian', 'area', 'spokesman', 'several', 'iran', 'bush', 'department', 'end', 'gaza', ',', 'british', 'NUM', 'newspaper', 'first', 'fire', 'border', 'troops', 'korea', 'new', 'economy', 'control', 'march', 'tuesday', 'report', 'NUM,NUM,NUM', 'billion']",0.06834732172362554,0.03336327526705653,0.1,5.933232362269746,1500
0,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['left', 'reported', 'years', 'announced', 'two', 'near', 'attack', '(', 'secretary', 'left', 'expected', ""'"", 'sudan', 'troops', 'government', '%', 'meanwhile', 'state', 'plan', 'say', '.', '(', 'plan', 'iraq', 'central', 'border', 'first', 'ago', 'food', 'last']",0.06834732172362554,0.009829056265322815,0.03333333333333333,3.98033941537822,1500
3,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['eu', 'britain', 'among', ""'"", 'power', 'talks', 'iraqi', ""'s"", 'among', 'held', 'reported', '-', 'french', ""shi'ite"", 'death', 'french', 'russia', 'near', 'hit', 'states', 'darfur', 'suicide', 'iranian', 'NUM,NUM,NUM', 'venezuela', 'came', 'al-qaida', 'health', 'last', 'wounded']",0.06834732172362554,0.039640477376014366,0.13333333333333333,6.920695933716946,1500
2,2.0,1.0,10000000.0,1.0,300,29,1,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['prices', 'year', 'police', 'months', 'last', 'spokesman', 'general', 'called', 'took', 'january', 'officials', 'authorities', 'week', 'next', 'month', 'force', 'trade', 'india', 'pakistani', 'later', 'ago', 'last', 'tehran', 'iran', 'pakistan', 'among', 'minister', 'country', 'died', 'american']",0.06834732172362554,0.010939236347787939,0.0,2.978123647016513,1500
