n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,hamming_d2target,d2original,exp_util,original_acc,attacked_acc,seconds
0,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'said', 'public', 'months', 'agreement', 'car', 'killed', '(', 'monday', 'vote', 'place', 'january', 'pakistani', 'international', 'japan', ""shi'ite"", 'russia', 'took', 'weapons', 'saturday', 'authorities', 'found', 'billion', ""'s"", 'police', 'report', 'another', 'program', ')', 'first']",0.2,0.23333333333333334,70.93581139253114,1.0,0.3333333333333333,1500
1,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['former', 'city', 'among', 'next', 'two', 'newspaper', 'talks', 'u.n.', 'oil', 'china', 'military', 'visit', 'next', 'accused', ')', 'darfur', 'rebels', 'march', 'state', 'agreement', 'agency', 'officials', 'european', 'africa', 'meeting', 'elections', 'baghdad', 'venezuela', 'africa', 'reports']",0.16666666666666666,0.1,50.18412257099446,1.0,0.2,1500
2,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['agency', 'said', 'africa', 'announced', 'six', 'charges', 'set', 'men', 'french', 'china', 'came', 'britain', 'troops', 'israeli', 'members', 'british', 'leaders', 'baghdad', 'end', 'news', 'american', 'people', 'second', 'president', 'force', 'opposition', 'coalition', 'program', 'virus', 'NUM.NUM']",0.23333333333333334,0.13333333333333333,57.15453078038834,1.0,0.16666666666666666,1500
3,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'sunday', 'seven', 'countries', 'city', 'another', 'late', 'including', 'tuesday', 'food', ',', 'south', 'near', 'spokesman', 'states', 'workers', 'french', 'program', 'east', 'flu', 'north', 'efforts', 'home', 'group', 'rights', ""'s"", 'found', 'muslim', 'israel', '.']",0.13333333333333333,0.23333333333333334,70.2596495187889,1.0,0.26666666666666666,1500
4,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['NUMth', 'said', 'muslim', 'countries', 'israel', 'party', 'talks', 'least', 'among', 'taleban', ',', 'late', 'korea', 'soldiers', 'japan', 'vote', 'told', 'japan', 'NUM,NUM,NUM', 'newspaper', 'accused', 'week', 'china', 'weeks', '%', 'province', 'week', 'ministry', 'fire', 'took']",0.16666666666666666,0.26666666666666666,75.01757550090059,1.0,0.26666666666666666,1500
8,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['mr.', 'killing', 'national', 'militant', 'several', 'home', 'week', '(', 'killing', 'east', 'house', 'public', 'korea', 'nation', 'groups', 'department', 'iraqi', 'japan', 'country', 'day', 'afghan', 'charges', 'violence', 'north', 'nato', 'area', 'nuclear', 'NUM', 'world', 'NUM,NUM']",0.13333333333333333,0.16666666666666666,59.28235324527005,1.0,0.26666666666666666,1500
5,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['days', 'growth', 'NUM-year-old', 'iraqi', 'afghanistan', 'tuesday', 'local', 'department', 'authorities', 'saturday', 'months', 'border', 'pakistani', 'western', 'major', ',', 'elections', 'province', 'foreign', ""'"", 'north', 'russian', 'western', 'north', 'korea', ""'s"", 'council', 'says', 'president', 'meanwhile']",0.13333333333333333,0.16666666666666666,59.842002180079014,1.0,0.2,1500
9,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['tuesday', 'force', 'among', 'troops', 'six', 'indian', 'talks', 'leaders', 'president', 'later', ',', 'south', 'korea', 'one', 'japan', ',', 'years', 'northern', 'united', 'health', 'high', 'british', 'late', 'flu', 'hamas', 'end', 'expected', 'program', 'nations', 'newspaper']",0.23333333333333334,0.3333333333333333,86.84186690794147,1.0,0.43333333333333335,1500
6,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['released', 'said', 'president', 'nation', 'bomb', 'party', 'called', 'army', 'food', 'countries', 'secretary', 'political', 'south', 'NUM.NUM', ')', 'control', 'central', 'foreign', 'united', 'six', 'prices', 'police', 'western', 'NUM,NUM', 'ministry', 'violence', 'NUM', 'washington', 'house', 'first']",0.13333333333333333,0.1,49.33367845772159,1.0,0.13333333333333333,1500
7,1.0,5.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['bird', 'second', 'five', 'u.n.', 'nation', 'spokesman', 'government', 'african', 'newspaper', 'china', 'african', 'efforts', 'released', 'NUM', 'baghdad', 'defense', 'world', ',', 'west', 'states', 'suspected', 'korea', 'growth', 'weeks', 'global', 'took', 'democratic', 'nuclear', ')', 'local']",0.2,0.16666666666666666,60.54603294908329,1.0,0.3333333333333333,1500
